,国名,英語国名,コード
0,アイスランド,Iceland,ISL
1,アイルランド,Ireland,IRL
2,アゼルバイジャン,Azerbaijan,AZE
3,アフガニスタン,Afghanistan,AFG
4,アラブ首長国連邦,United Arab Emirates,ARE
5,アルジェリア,Algeria,DZA
6,アルゼンチン,Argentina,ARG
7,アルバ,Aruba,ABW
8,アルバニア,Albania,ALB
9,アルメニア,Armenia,ARM
10,アンギラ,Anguilla,AIA
11,アンゴラ,Angola,AGO
12,アンティグア・バーブーダ,Antigua and Barbuda,ATG
13,アンドラ,Andorra,AND
14,イエメン,Yemen,YEM
15,イスラエル,Israel,ISR
16,イタリア,Italy,ITA
17,イラク,Iraq,IRQ
18,イラン,Iran,IRN
19,インド,India,IND
20,インドネシア,Indonesia,IDN
21,ウェーク島,Wake Island,WAK
22,ウガンダ,Uganda,UGA
23,ウクライナ,Ukraine,UKR
24,ウズベキスタン,Uzbekistan,UZB
25,ウルグアイ,Uruguay,URY
26,英国,United Kingdom,GBR
27,英領インド洋地域,British Indian Ocean Territory,IOT
28,英領バージン諸島,"Virgin Islands, British",VGB
29,エクアドル,Ecuador,ECU
30,エジプト,Egypt,EGY
31,エストニア,Estonia,EST
32,エスワティニ,ESWATINI,SWZ
33,エチオピア,Ethiopia,ETH
34,エリトリア,Eritrea,ERI
35,エルサルバドル,El Salvador,SLV
36,オーストラリア,Australia,AUS
37,オーストリア,Austria,AUT
38,オマーン,Oman,OMN
39,オランダ,Netherlands,NLD
40,オランダ領アンティル,Netherlands Antilles,ANT
41,カーボヴェルデ,Cape Verde,CPV
42,カザフスタン,Kazakhstan,KAZ
43,カシミール,Kashmir,KAS
44,カタール,Qatar,QAT
45,カナダ,Canada,CAN
46,カメルーン,Cameroon,CMR
47,カンボジア,Cambodia,KHM
48,ガーナ,Ghana,GHA
49,ガイアナ,Guyana,GUY
50,ガボン,Gabon,GAB
51,ガンビア,Gambia,GMB
52,北朝鮮,Democratic People's Republic of Korea,PRK
53,北マケドニア,NORTH MACEDONIA,MKD
54,北マリアナ諸島,Northern Mariana Islands,MNP
55,キプロス,Cyprus,CYP
56,キューバ,Cuba,CUB
57,キリバス,Kiribati,KIR
58,キルギス,Kyrgyzstan,KGZ
59,ギニア,Guinea,GIN
60,ギニアビサウ,Guinea-Bissau,GNB
61,ギリシャ,Greece,GRC
62,クウェート,Kuwait,KWT
63,クック諸島,Cook Islands,COK
64,クリスマス島,Christmas Island,CXR
65,クロアチア,Croatia,HRV
66,グアテマラ,Guatemala,GTM
67,グアドループ島,Guadeloupe,GLP
68,グアム,Guam,GUM
69,グリーンランド,Greenland,GRL
70,グレナダ,Grenada,GRD
71,ケイマン諸島,Cayman Islands,CYM
72,ケニア,Kenya,KEN
73,コートジボワール,Cote d'Ivoire,CIV
74,ココス諸島,Cocos Islands,CCK
75,コスタリカ,Costa Rica,CRI
76,コモロ連合,Comoros,COM
77,コロンビア,Colombia,COL
78,コンゴ共和国,Congo,COG
79,コンゴ民主共和国,Democratic Republic of the Congo,COD
80,サウジアラビア,Saudi Arabia,SAU
81,サモア,Samoa,WSM
82,サントメ・プリンシペ,Sao Tome and Principe,STP
83,サンピエール島・ミクロン島,Saint Pierre and Miquelon,SPM
84,サンマリノ,San Marino,SMR
85,ザンビア,Zambia,ZMB
86,シエラレオネ,Sierra Leone,SLE
87,シリア,Syrian Arab Republic,SYR
88,シンガポール,Singapore,SGP
89,ジブチ,Djibouti,DJI
90,スバールバル諸島・ヤンマイエン諸島,Svalbard and Jan Mayen,SJM
91,ジャマイカ,Jamaica,JAM
92,ジョージア,Georgia,GEO
93,ジョンストン島,Johnston Atoll,JON
